車両説明,メーカー,年式,走行距離_万km,排気量_cc,色,車検,価格_万円
2015年式 マツダ デミオ X 走行10.6万km LEDヘッドライト,マツダ,2015,10.6,2000,青,なし,39.5
2020年式 スバル レヴォーグ ターボ 走行2.5万km 新品タイヤ交換済 ドライブレコーダー ETC タイヤ溝少なめ エアコン効き弱い 修復歴あり,スバル,2020,2.5,1000,赤,なし,96.9
2015年式 マツダ デミオ ターボ 走行4.1万km フルセグTV バックカメラ LEDヘッドライト,マツダ,2015,4.1,1000,白,あり,54.2
2019年式 スバル レヴォーグ 4WD 走行0.5万km LEDヘッドライト 純正ナビ フルセグTV,スバル,2019,0.5,1000,パール,なし,202.8
2009年式 スズキ スイフト X 走行13.6万km ナビ地図データ古い,スズキ,2009,13.6,1200,シルバー,なし,15.0
2014年式 スバル レヴォーグ 4WD 走行10.1万km ワンオーナー 小キズ多数,スバル,2014,10.1,2000,青,なし,80.9
2009年式 スズキ ジムニー 4WD 走行11.6万km 純正ナビ 衝突被害軽減ブレーキ 修復歴あり,スズキ,2009,11.6,1800,青,あり,15.8
2022年式 ホンダ ステップワゴン S 走行2.1万km,ホンダ,2022,2.1,660,青,あり,232.2
2016年式 スズキ スイフト ターボ 走行6.8万km LEDヘッドライト ドライブレコーダー タイヤ溝少なめ,スズキ,2016,6.8,2000,赤,なし,50.4
2011年式 スズキ スイフト G 走行12.6万km ディーラー整備記録簿あり ETC,スズキ,2011,12.6,1200,パール,あり,21.8
2022年式 トヨタ プリウス 特別仕様車 走行0.1万km バックカメラ サンルーフ LEDヘッドライト ドライブレコーダー バッテリー要交換 タイヤ溝少なめ,トヨタ,2022,0.1,2500,赤,あり,221.5
2014年式 ホンダ フィット 特別仕様車 走行11.5万km フルセグTV,ホンダ,2014,11.5,2000,黒,なし,37.0
2016年式 トヨタ カローラ Z 走行6.4万km 純正ナビ サンルーフ フルセグTV タイヤ溝少なめ バッテリー要交換,トヨタ,2016,6.4,2000,赤,なし,60.1
2017年式 トヨタ アルファード 特別仕様車 走行7.5万km ワンオーナー 純正ナビ ETC ドライブレコーダー 車検切れ,トヨタ,2017,7.5,1200,パール,なし,198.2
2016年式 トヨタ アクア G 走行9.9万km 車検切れ,トヨタ,2016,9.9,1800,赤,あり,39.9
