レビュー本文,カテゴリ,商品,価格,購入回数,評価
タオルを購入。とても使いやすいです。以上、参考になれば。,日用品,タオル,500,1,高評価
参考書を家族用に買いました。とても使いやすいです。買ってよかった。梱包も丁寧で好印象。星5つです。,書籍,参考書,1700,5,高評価
ハンドソープを購入。説明と違う商品が届いた。以上、参考になれば。,日用品,ハンドソープ,2100,5,低評価
セールでTシャツを注文しました。説明書どおりの性能。可もなく不可もなく。毎日使っています。以上、参考になれば。,衣料,Tシャツ,13400,1,普通
空気清浄機のレビューです。コスパが最高。デザインが気に入っています。総合的には満足。,家電,空気清浄機,20400,1,高評価
口コミを見て歯ブラシを選びました。特に不満はありません。また利用したいと思います。,日用品,歯ブラシ,300,1,普通
初めてスニーカーを試しました。コスパが最高。買ってよかった。また利用したいと思います。,衣料,スニーカー,13000,3,高評価
セールでダウンジャケットを注文しました。コスパが最高。特に不満はありません。星5つです。,衣料,ダウンジャケット,11400,6,高評価
口コミを見て写真集を選びました。特に不満はありません。思ったより大きめでした。他と比べていないので分かりません。また利用したいと思います。,書籍,写真集,3600,3,普通
ビジネス書を家族用に買いました。コスパが最高。想像より軽くて扱いやすい。とても使いやすいです。以上、参考になれば。,書籍,ビジネス書,3000,4,高評価
セールで掃除機を注文しました。値段の割に安っぽい。写真と全然違う。,家電,掃除機,16500,2,低評価
セールで料理本を注文しました。期待以上でした。想像より軽くて扱いやすい。リピート確定です。4点。,書籍,料理本,4000,2,高評価
セールで小説を注文しました。写真と全然違う。音がうるさくて使えない。説明書どおりの性能。また利用したいと思います。,書籍,小説,3000,6,低評価
収納ボックスのレビューです。買ってよかった。以上、参考になれば。,日用品,収納ボックス,2300,1,高評価
初めて手袋を試しました。期待外れでがっかり。二度と買いません。また利用したいと思います。,衣料,手袋,6000,1,低評価
緑茶のレビューです。期待外れでがっかり。初期不良でした。説明書が分かりにくい。以上、参考になれば。,食品,緑茶,600,2,低評価
セールでダウンジャケットを注文しました。すぐに壊れました。総合的には不満。,衣料,ダウンジャケット,5300,3,低評価
手袋を家族用に買いました。他と比べていないので分かりません。色が写真と少し違いました。普通に使えます。以上、参考になれば。,衣料,手袋,5600,1,普通
ビジネス書を家族用に買いました。想像より軽くて扱いやすい。毎日使っています。デザインが気に入っています。総合的には満足。,書籍,ビジネス書,900,1,高評価
Tシャツを家族用に買いました。到着は予定どおりでした。色が写真と少し違いました。まだ数回しか使っていません。,衣料,Tシャツ,7100,1,普通
セールでリュックを注文しました。買ってよかった。家族にも好評。とても使いやすいです。説明と違う商品が届いた。4点。,衣料,リュック,4400,2,高評価
セールでオリーブオイルを注文しました。二度と買いません。匂いが気になります。写真と全然違う。値段相応だと思います。以上、参考になれば。,食品,オリーブオイル,3300,5,低評価
セールでハンドソープを注文しました。音がうるさくて使えない。星1つです。,日用品,ハンドソープ,2700,6,低評価
歯ブラシを購入。梱包も丁寧で好印象。デザインが気に入っています。品質が良く長持ちしそう。普通に使えます。,日用品,歯ブラシ,500,1,高評価
スニーカーを家族用に買いました。家族にも好評。リピート確定です。梱包も丁寧で好印象。値段相応だと思います。4点。,衣料,スニーカー,7200,6,高評価
初めてレトルトカレーを試しました。リピート確定です。色が写真と少し違いました。5点。,食品,レトルトカレー,1100,5,高評価
セールでレインコートを注文しました。買ってよかった。星5つです。,衣料,レインコート,18000,1,高評価
セールでイヤホンを注文しました。説明書が分かりにくい。サイズが合わず返品しました。初期不良でした。特に不満はありません。また利用したいと思います。,家電,イヤホン,3100,3,低評価
レトルトカレーのレビューです。家族にも好評。とても使いやすいです。星5つです。,食品,レトルトカレー,2100,1,高評価
口コミを見てスニーカーを選びました。買ってよかった。とても使いやすいです。梱包も丁寧で好印象。また利用したいと思います。,衣料,スニーカー,17800,6,高評価
漫画のレビューです。想像より軽くて扱いやすい。コスパが最高。毎日使っています。,書籍,漫画,1000,3,高評価
セールで電気ケトルを注文しました。すぐに壊れました。説明書が分かりにくい。写真と全然違う。星1つです。,家電,電気ケトル,26300,1,低評価
口コミを見てTシャツを選びました。音がうるさくて使えない。写真と全然違う。思ったより大きめでした。総合的には不満。,衣料,Tシャツ,17300,6,低評価
初めてハンドソープを試しました。思ったより大きめでした。説明書が分かりにくい。総合的にはまあまあ。,日用品,ハンドソープ,1200,1,普通
初めて小説を試しました。デザインが気に入っています。説明と違う商品が届いた。5点。,書籍,小説,1700,3,高評価
初めてタオルを試しました。色が写真と少し違いました。可もなく不可もなく。値段相応だと思います。星2つです。,日用品,タオル,1800,6,普通
チョコレートを購入。とても使いやすいです。品質が良く長持ちしそう。二度と買いません。,食品,チョコレート,2100,5,高評価
ドライヤーのレビューです。すぐに壊れました。サイズが合わず返品しました。普通に使えます。総合的には不満。,家電,ドライヤー,12700,6,低評価
レインコートを購入。値段相応だと思います。特に不満はありません。他と比べていないので分かりません。以上、参考になれば。,衣料,レインコート,12600,3,普通
歯ブラシを家族用に買いました。思ったより大きめでした。色が写真と少し違いました。星3つです。,日用品,歯ブラシ,2800,3,普通
セールでリュックを注文しました。買ってよかった。サポートの対応が悪かった。総合的には満足。,衣料,リュック,12500,5,高評価
チョコレートのレビューです。デザインが気に入っています。以上、参考になれば。,食品,チョコレート,1800,6,高評価
初めてリュックを試しました。期待外れでがっかり。到着は予定どおりでした。以上、参考になれば。,衣料,リュック,4700,5,低評価
イヤホンのレビューです。説明と違う商品が届いた。サポートの対応が悪かった。星1つです。,家電,イヤホン,36000,4,低評価
掃除機のレビューです。梱包も丁寧で好印象。買ってよかった。家族にも好評。総合的には満足。,家電,掃除機,26500,2,高評価
口コミを見て小説を選びました。毎日使っています。友人にも勧めたい。,書籍,小説,3500,2,高評価
初めてスニーカーを試しました。他と比べていないので分かりません。説明書どおりの性能。到着は予定どおりでした。写真と全然違う。3点。,衣料,スニーカー,13900,3,普通
空気清浄機を家族用に買いました。まだ数回しか使っていません。また利用したいと思います。,家電,空気清浄機,5700,6,普通
口コミを見て炊飯器を選びました。品質が良く長持ちしそう。とても使いやすいです。友人にも勧めたい。以上、参考になれば。,家電,炊飯器,26900,3,高評価
セールでダウンジャケットを注文しました。リピート確定です。説明と違う商品が届いた。総合的には満足。,衣料,ダウンジャケット,20000,5,高評価
ダウンジャケットを購入。デザインが気に入っています。期待以上でした。家族にも好評。すぐに壊れました。星5つです。,衣料,ダウンジャケット,3600,3,高評価
ビジネス書を家族用に買いました。毎日使っています。品質が良く長持ちしそう。リピート確定です。星5つです。,書籍,ビジネス書,2400,4,高評価
チョコレートを家族用に買いました。リピート確定です。コスパが最高。梱包も丁寧で好印象。値段の割に安っぽい。また利用したいと思います。,食品,チョコレート,2000,5,高評価
初めてタオルを試しました。説明と違う商品が届いた。また利用したいと思います。,日用品,タオル,800,5,低評価
口コミを見てパスタを選びました。値段相応だと思います。可もなく不可もなく。色が写真と少し違いました。総合的にはまあまあ。,食品,パスタ,3300,3,普通
初めて小説を試しました。リピート確定です。買ってよかった。星4つです。,書籍,小説,3600,1,高評価
セールでタオルを注文しました。梱包も丁寧で好印象。以上、参考になれば。,日用品,タオル,2200,5,高評価
セールで料理本を注文しました。品質が良く長持ちしそう。コスパが最高。すぐに壊れました。また利用したいと思います。,書籍,料理本,2700,1,高評価
レインコートを家族用に買いました。値段相応だと思います。他と比べていないので分かりません。また利用したいと思います。,衣料,レインコート,9200,1,普通
初めてマスクを試しました。他と比べていないので分かりません。到着は予定どおりでした。説明書が分かりにくい。2点。,日用品,マスク,800,4,普通
料理本のレビューです。普通に使えます。友人にも勧めたい。総合的にはまあまあ。,書籍,料理本,2600,2,普通
口コミを見て掃除機を選びました。リピート確定です。思ったより大きめでした。また利用したいと思います。,家電,掃除機,7400,2,高評価
ダウンジャケットを購入。他と比べていないので分かりません。2点。,衣料,ダウンジャケット,16300,3,普通
セールで電気ケトルを注文しました。可もなく不可もなく。他と比べていないので分かりません。到着は予定どおりでした。また利用したいと思います。,家電,電気ケトル,28700,4,普通
初めてダウンジャケットを試しました。デザインが気に入っています。コスパが最高。毎日使っています。総合的には満足。,衣料,ダウンジャケット,15000,2,高評価
イヤホンを購入。想像より軽くて扱いやすい。とても使いやすいです。期待以上でした。以上、参考になれば。,家電,イヤホン,38400,2,高評価
セールでコーヒー豆を注文しました。サイズが合わず返品しました。期待外れでがっかり。匂いが気になります。以上、参考になれば。,食品,コーヒー豆,1800,3,低評価
炊飯器を家族用に買いました。友人にも勧めたい。総合的には満足。,家電,炊飯器,8800,4,高評価
セールで写真集を注文しました。可もなく不可もなく。総合的にはまあまあ。,書籍,写真集,3100,1,普通
ダウンジャケットを購入。期待以上でした。リピート確定です。想像より軽くて扱いやすい。,衣料,ダウンジャケット,9400,3,高評価
炊飯器を家族用に買いました。特に不満はありません。到着は予定どおりでした。色が写真と少し違いました。サイズが合わず返品しました。また利用したいと思います。,家電,炊飯器,32800,4,普通
セールでオリーブオイルを注文しました。毎日使っています。値段相応だと思います。また利用したいと思います。,食品,オリーブオイル,500,5,高評価
