scheme,code,title,parent,level
FI,C22C,鉄以外の合金・鉄合金（サブクラス、タイトルは仮）,,subclass
FI,C22C38/00,鉄合金（例：鋼）（タイトルは仮）,C22C,main_group
FI,C22C38/04,ケイ素を含む鉄合金（タイトルは仮）,C22C38/00,subgroup
FI,C22C38/06,アルミニウムを含む鉄合金（タイトルは仮）,C22C38/00,subgroup
FI,C22C38/38,クロム・ニッケル・マンガンを含む鉄合金（タイトルは仮）,C22C38/00,subgroup
FI,C22C38/58,その他の元素を含む鉄合金（タイトルは仮）,C22C38/00,subgroup
FI,C21D,鉄系金属の物理的構造の改変・熱処理（サブクラス、タイトルは仮）,,subclass
FI,C21D1/00,熱処理の一般的方法・装置（タイトルは仮）,C21D,main_group
FI,C21D1/18,焼入れ；焼入れ後の焼戻し（タイトルは仮）,C21D1/00,subgroup
FI,C21D1/28,焼準（タイトルは仮）,C21D1/00,subgroup
FI,C21D8/00,機械的加工と熱処理の組合せ（タイトルは仮）,C21D,main_group
FI,C21D8/02,板の製造における熱処理と圧延（タイトルは仮）,C21D8/00,subgroup
FI,C21D9/00,特定物品の熱処理（タイトルは仮）,C21D,main_group
FI,C21D9/08,管の熱処理（タイトルは仮）,C21D9/00,subgroup
FI,C21D9/46,板・帯の熱処理（タイトルは仮）,C21D9/00,subgroup
FI,C21D9/52,線の熱処理（タイトルは仮）,C21D9/00,subgroup
FI,C23C2/06,溶融亜鉛めっき（タイトルは仮）,C23C2/00,subgroup
FI,B23K11/11,抵抗スポット溶接（タイトルは仮）,B23K11/00,subgroup
FI,C22F1/04,アルミニウム合金の熱処理（タイトルは仮）,C22F1/00,subgroup
FI,B62D25/00,車体の上部構造（タイトルは仮）,B62D,main_group
FT,4K037,鉄鋼の熱処理（テーマ、タイトルは仮）,,theme
FT,4K037AA,対象材料（観点、タイトルは仮）,4K037,theme_view
FT,4K037AA01,鋼板・鋼帯（タイトルは仮）,4K037AA,full
FT,4K037AA02,高強度鋼板（タイトルは仮）,4K037AA,full
FT,4K037AA05,鋼管（タイトルは仮）,4K037AA,full
FT,4K037AA06,鋼線（タイトルは仮）,4K037AA,full
FT,4K037EA,熱処理の種類（観点、タイトルは仮）,4K037,theme_view
FT,4K037EA01,焼入れ（タイトルは仮）,4K037EA,full
FT,4K037EA02,急冷（タイトルは仮）,4K037EA,full
FT,4K037EA03,焼戻し（タイトルは仮）,4K037EA,full
FT,4K037EB01,焼入れ後の焼戻し（タイトルは仮）,4K037EB,full
FT,4K037FA,用途（観点、タイトルは仮）,4K037,theme_view
FT,4K037FA02,自動車部材（タイトルは仮）,4K037FA,full
FT,4K037FA03,ホットスタンプ部材（タイトルは仮）,4K037FA,full
FT,4K027,めっき（テーマ、タイトルは仮）,,theme
FT,4K018,非鉄金属の熱処理（テーマ、タイトルは仮）,,theme
IPC,C22C38/00,鉄合金（IPC、タイトルは仮）,C22C,main_group
IPC,C22C38/04,ケイ素を含む鉄合金（IPC、タイトルは仮）,C22C38/00,subgroup
IPC,C22C38/06,アルミニウムを含む鉄合金（IPC、タイトルは仮）,C22C38/00,subgroup
IPC,C22C38/38,クロム等を含む鉄合金（IPC、タイトルは仮）,C22C38/00,subgroup
IPC,C22C38/58,その他の鉄合金（IPC、タイトルは仮）,C22C38/00,subgroup
IPC,C21D1/18,焼入れ；焼戻し（IPC、タイトルは仮）,C21D1/00,subgroup
IPC,C21D9/46,板・帯の熱処理（IPC、タイトルは仮）,C21D9/00,subgroup
IPC,C21D8/02,板の熱処理と圧延（IPC、タイトルは仮）,C21D8/00,subgroup
IPC,C22F1/04,アルミニウム合金の熱処理（IPC、タイトルは仮）,C22F1/00,subgroup
