文献番号,発明の名称,要約,請求の範囲,FI,Fターム,IPC,公知日,出願人/権利者,引用文献
JP2018-100109A,高強度コンクリートの製造方法,高強度コンクリートを製造するための配合と養生方法。,高強度コンクリートの製造方法。,C04B28/02,4G112AA01,C04B28/02,2018-05-06,中央金属工業株式会社,
JP2014-100003A,ホットスタンプ部材の製造方法,高強度鋼板を加熱後に金型内で成形と同時に焼入れするホットスタンプにより、自動車部材を製造する方法。,高強度鋼板を加熱し金型内で焼入れしつつ成形する工程を備える製造方法。,"C22C38/06,301;C21D9/46@A;C21D1/18",4K037AA01;4K037FA03;4E029AA01,C22C38/06;C21D1/18,2014-10-23,北陸熱処理株式会社,
JP2009-100115A,リチウムイオン電池用正極材料,リチウムイオン電池の正極活物質とその製造方法。,正極活物質。,H01M4/525,5H050AA01,H01M4/525,2009-04-28,海洋軽金属株式会社,
JP2011-100064A,高強度鋼板用塗料組成物,高強度鋼板の防錆に用いる塗料組成物。,高強度鋼板用の塗料組成物。,C09D5/08,4J038AA01,C09D5/08,2011-12-15,山手化成株式会社,
JP2010-100086A,チタン合金の熱処理方法,チタン合金を溶体化・時効処理する方法。,チタン合金を熱処理する方法。,C22F1/18;C22C14/00,4K018AA05,C22F1/18,2010-07-14,湾岸電池株式会社,
JP2015-100052A,高強度鋼板のレーザ切断方法,高強度鋼板をレーザで切断する方法。,高強度鋼板をレーザ切断する方法。,B23K26/38;C22C38/00,4E168AA01,B23K26/38,2015-06-10,山手化成株式会社,
JP2012-100001A,高強度鋼板の製造方法,自動車部材に用いる高強度鋼板の製造方法であって、鋼板を加熱した後に焼入れを行い、その後焼戻しを施すことで引張強度と靭性を確保する。,鋼板を加熱した後に焼入れする工程と、焼戻しする工程とを備える高強度鋼板の製造方法。,C22C38/00;C21D9/46;C21D1/18,4K037AA01;4K037EA01;4K037FA02,C22C38/00;C21D9/46,2012-01-22,北陸熱処理株式会社,
JP2019-100056A,高強度鋼板用塗料組成物,高強度鋼板の防錆に用いる塗料組成物。,高強度鋼板用の塗料組成物。,C09D5/08,4J038AA01,C09D5/08,2019-11-28,南北スチール株式会社,
JP2012-100027A,高強度鋼板の焼戻し方法,焼入れ済みの高強度鋼板を焼戻しして靭性を調整する方法。,高強度鋼板を焼戻しする工程を備える方法。,C22C38/00;C21D9/46,4K037AA01;4K037EA03,C21D9/46,2012-12-24,東西製鉄株式会社,
JP2015-100106A,リチウムイオン電池用正極材料,リチウムイオン電池の正極活物質とその製造方法。,正極活物質。,H01M4/525,5H050AA01,H01M4/525,2015-02-21,東西製鉄株式会社,
JP2016-100005A,耐水素脆化特性に優れた高強度鋼板およびその製造方法,高強度鋼板の焼入れ後に低温で焼戻しを行うことにより、水素脆化を抑制し遅れ破壊を防止する。自動車部材向け。,焼入れ後に焼戻しを行う工程を備える高強度鋼板の製造方法。,C22C38/38;C21D9/46;C21D1/18,4K037AA01;4K037EB01,C22C38/38;C21D9/46,2016-08-15,東西製鉄株式会社,JP2017-100006A;JP2013-100002A
JP2009-100085A,アルミニウム合金の焼入れ方法,アルミニウム合金を溶体化処理後に急冷して焼入れし、時効硬化させる方法。,アルミニウム合金を焼入れする方法。,C22F1/04;C22C21/00,4K018AA01,C22F1/04,2009-04-09,山手化成株式会社,
JP2010-100039A,高強度鋼板の焼準処理,高強度鋼板を焼準（ノルマライジング）により組織を均一化する方法。,高強度鋼板を焼準する方法。,C22C38/00;C21D1/28,4K037AA01,C21D1/28,2010-02-20,北陸熱処理株式会社,
JP2022-100075A,鋼板の連続鋳造方法,鋼板用スラブを連続鋳造する方法。,スラブを連続鋳造する方法。,B22D11/00,4E004AA01,B22D11/00,2022-06-01,北陸熱処理株式会社,
JP2016-100092A,高強度繊維の製造方法,高強度ポリエチレン繊維を紡糸・延伸して製造する方法。,高強度繊維の製造方法。,D01F6/04,4L035AA01,D01F6/04,2016-11-26,東西製鉄株式会社,
